calculated_at,topic_id,title,recommendation_track,action_label,recommended_stake_units,max_allowed_stake_units,stake_band,risk_rule,entry_condition,cancel_condition,rationale,affiliate_url
2026-06-10T11:49:58+00:00,4deaef64eb2f7eb7,Will Argentina win the 2026 FIFA World Cup?,conservative,稳健观察仓,0.5,1.0,0.5,Long-horizon market cap applies; do not exceed daily and related-exposure limits.,Enter only if price remains near current range and thesis is documented.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=conservative; conservative=83.41; upside=67.01; risk=30.0; implied=0.086; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,73530ff797ef10ed,Will Brazil win the 2026 FIFA World Cup?,conservative,稳健观察仓,0.5,1.0,0.5,Long-horizon market cap applies; do not exceed daily and related-exposure limits.,Enter only if price remains near current range and thesis is documented.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=conservative; conservative=83.36; upside=67.09; risk=30.0; implied=0.085; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,3084833b8ee0973a,Will Germany win the 2026 FIFA World Cup?,conservative,稳健观察仓,0.5,1.0,0.5,Long-horizon market cap applies; do not exceed daily and related-exposure limits.,Enter only if price remains near current range and thesis is documented.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=conservative; conservative=82.21; upside=69.32; risk=30.0; implied=0.053; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,f7f17aa5a6ad73d0,Will Portugal win the 2026 FIFA World Cup?,conservative,稳健观察仓,0.5,1.0,0.5,Long-horizon market cap applies; do not exceed daily and related-exposure limits.,Enter only if price remains near current range and thesis is documented.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=conservative; conservative=81.87; upside=65.92; risk=30.0; implied=0.102; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,36ff1f3bd28e0c72,Will England win the 2026 FIFA World Cup?,conservative,稳健观察仓,0.5,1.0,0.5,Long-horizon market cap applies; do not exceed daily and related-exposure limits.,Enter only if price remains near current range and thesis is documented.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=conservative; conservative=81.71; upside=65.4; risk=30.0; implied=0.109; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,ea82571dbc573b7c,Will France win the 2026 FIFA World Cup?,conservative,稳健观察仓,0.5,1.0,0.5,Long-horizon market cap applies; do not exceed daily and related-exposure limits.,Enter only if price remains near current range and thesis is documented.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=conservative; conservative=78.02; upside=61.75; risk=30.0; implied=0.161; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,01aafe09a97e5861,Will Spain win the 2026 FIFA World Cup?,conservative,稳健观察仓,0.5,1.0,0.5,Long-horizon market cap applies; do not exceed daily and related-exposure limits.,Enter only if price remains near current range and thesis is documented.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=conservative; conservative=78.01; upside=61.6; risk=30.0; implied=0.163; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,4fd31c0945cf44e7,Will Netherlands win the 2026 FIFA World Cup?,upside,高盈亏比观察仓,0.25,0.5,0.25,Upside track is never a heavy stake by default.,"Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=73.69; upside=83.51; risk=30.0; implied=0.04; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,3e5a54e96e587821,Will Belgium win the 2026 FIFA World Cup?,upside,高盈亏比小仓,0.5,0.5,0.5,Upside track is never a heavy stake by default.,"Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=72.21; upside=84.8; risk=30.0; implied=0.022; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,aff42f492bb93e48,Will USA win the 2026 FIFA World Cup?,upside,高盈亏比小仓,0.5,0.5,0.5,Upside track is never a heavy stake by default.,"Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=71.81; upside=84.9; risk=30.0; implied=0.012; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,93194fbdb63f2954,Will Switzerland win the 2026 FIFA World Cup?,upside,高盈亏比小仓（额度内减仓）,0.25,0.5,0.25,Upside track is never a heavy stake by default. Reduced to fit the daily 5.00-unit cap.,"Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=71.76; upside=85.49; risk=30.0; implied=0.012; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,4f16decf0783d4dc,Will Colombia win the 2026 FIFA World Cup?,upside,日额度等待,0.0,0.5,0,"Candidate passed base staking rules, but today's daily unit cap is already allocated.","Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=71.62; upside=84.09; risk=30.0; implied=0.02; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,53673095367cf41a,Will Uruguay win the 2026 FIFA World Cup?,upside,日额度等待,0.0,0.5,0,"Candidate passed base staking rules, but today's daily unit cap is already allocated.","Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=71.57; upside=84.69; risk=30.0; implied=0.011; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,e9e2ed3f64e845fe,Will Mexico win the 2026 FIFA World Cup?,upside,日额度等待,0.0,0.5,0,"Candidate passed base staking rules, but today's daily unit cap is already allocated.","Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=71.37; upside=84.8; risk=30.0; implied=0.014; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,4d074625e05862a1,Will Norway win the 2026 FIFA World Cup?,upside,日额度等待,0.0,0.5,0,"Candidate passed base staking rules, but today's daily unit cap is already allocated.","Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=71.23; upside=83.79; risk=30.0; implied=0.025; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,d9bdd6d90d211e50,Will Japan win the 2026 FIFA World Cup?,upside,日额度等待,0.0,0.5,0,"Candidate passed base staking rules, but today's daily unit cap is already allocated.","Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=70.81; upside=84.28; risk=30.0; implied=0.018; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,a639760bda6168f8,Will Morocco win the 2026 FIFA World Cup?,upside,日额度等待,0.0,0.5,0,"Candidate passed base staking rules, but today's daily unit cap is already allocated.","Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=70.61; upside=84.3; risk=30.0; implied=0.018; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,24cef43bcbfd2bd0,Will Senegal win the 2026 FIFA World Cup?,upside,日额度等待,0.0,0.5,0,"Candidate passed base staking rules, but today's daily unit cap is already allocated.","Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=69.29; upside=83.17; risk=40.0; implied=0.007; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,675a91ebe111385d,Will Ecuador win the 2026 FIFA World Cup?,upside,日额度等待,0.0,0.5,0,"Candidate passed base staking rules, but today's daily unit cap is already allocated.","Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=69.22; upside=83.04; risk=40.0; implied=0.009; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,9296aa70198a7dea,Will Sweden win the 2026 FIFA World Cup?,upside,日额度等待,0.0,0.5,0,"Candidate passed base staking rules, but today's daily unit cap is already allocated.","Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=69.05; upside=83.38; risk=40.0; implied=0.004; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,902334b986ab79af,Will Austria win the 2026 FIFA World Cup?,upside,日额度等待,0.0,0.5,0,"Candidate passed base staking rules, but today's daily unit cap is already allocated.","Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=68.73; upside=83.34; risk=40.0; implied=0.005; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,b4c4cbdfabb3d51e,Will Croatia win the 2026 FIFA World Cup?,upside,日额度等待,0.0,0.5,0,"Candidate passed base staking rules, but today's daily unit cap is already allocated.","Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=68.43; upside=83.04; risk=40.0; implied=0.01; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,47f1df7c1ccd0e3e,Will Ivory Coast win the 2026 FIFA World Cup?,upside,日额度等待,0.0,0.5,0,"Candidate passed base staking rules, but today's daily unit cap is already allocated.","Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=68.4; upside=83.37; risk=40.0; implied=0.005; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,0538ed536224df43,Will Egypt win the 2026 FIFA World Cup?,upside,日额度等待,0.0,0.5,0,"Candidate passed base staking rules, but today's daily unit cap is already allocated.","Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=67.79; upside=81.99; risk=48.0; implied=0.003; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,8c384787ba061580,Will Turkiye win the 2026 FIFA World Cup?,upside,日额度等待,0.0,0.5,0,"Candidate passed base staking rules, but today's daily unit cap is already allocated.","Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=67.65; upside=79.72; risk=30.0; implied=0.012; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,7fead0339f8f7db4,Will South Korea win the 2026 FIFA World Cup?,upside,日额度等待,0.0,0.5,0,"Candidate passed base staking rules, but today's daily unit cap is already allocated.","Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=67.15; upside=82.03; risk=48.0; implied=0.003; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,6bd68c7795c09df7,Will Canada win the 2026 FIFA World Cup?,upside,日额度等待,0.0,0.5,0,"Candidate passed base staking rules, but today's daily unit cap is already allocated.","Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=59.47; upside=76.74; risk=40.0; implied=0.004; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,c140984a9b92cd41,Will Czechia win the 2026 FIFA World Cup?,upside,只观察,0.0,0.5,0,Upside track is never a heavy stake by default.,"Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=57.99; upside=75.36; risk=48.0; implied=0.003; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,db13bf89ada654fb,Will Algeria win the 2026 FIFA World Cup?,upside,只观察,0.0,0.5,0,Upside track is never a heavy stake by default.,"Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=57.62; upside=75.45; risk=48.0; implied=0.002; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,9be66e4053fc67dc,Will Bosnia-Herzegovina win the 2026 FIFA World Cup?,upside,只观察,0.0,0.5,0,Upside track is never a heavy stake by default.,"Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=57.55; upside=75.46; risk=48.0; implied=0.002; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,958011fb3784bf69,Will Paraguay win the 2026 FIFA World Cup?,upside,只观察,0.0,0.5,0,Upside track is never a heavy stake by default.,"Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=57.49; upside=75.39; risk=48.0; implied=0.003; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,2b3fa062b111bfb0,Will Iran win the 2026 FIFA World Cup?,upside,只观察,0.0,0.5,0,Upside track is never a heavy stake by default.,"Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=57.23; upside=75.48; risk=48.0; implied=0.002; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,ebe929a10be5d637,Will Ghana win the 2026 FIFA World Cup?,upside,只观察,0.0,0.5,0,Upside track is never a heavy stake by default.,"Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=56.87; upside=75.51; risk=48.0; implied=0.002; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,da126cc4e23ce443,Will Scotland win the 2026 FIFA World Cup?,upside,只观察,0.0,0.5,0,Upside track is never a heavy stake by default.,"Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=56.78; upside=75.45; risk=48.0; implied=0.003; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,d5ad6f39ddd05475,Will Australia win the 2026 FIFA World Cup?,upside,只观察,0.0,0.5,0,Upside track is never a heavy stake by default.,"Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=56.65; upside=75.52; risk=48.0; implied=0.002; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,4cea5abb37de3d1c,Will Congo DR win the 2026 FIFA World Cup?,upside,只观察,0.0,0.5,0,Upside track is never a heavy stake by default.,"Enter only if this remains a small, thesis-driven asymmetric idea.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=upside; conservative=55.09; upside=74.46; risk=48.0; implied=0.002; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,68ec7ed2c6a08c23,Will Any Other Team win the 2026 FIFA World Cup?,watchlist,风险过高,0.0,0.0,0,Risk score too high; no stake.,Reassess after status becomes active/hot and rules are clear.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=watchlist; conservative=16.0; upside=19.51; risk=90.0; implied=1.0; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,1edeeabc28ffa0d6,Will Tunisia win the 2026 FIFA World Cup?,neutral,等待,0.0,0.0,0,Neutral score: no current edge signal.,"Wait for price move, new information, or model upgrade.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=neutral; conservative=55.7; upside=56.48; risk=48.0; implied=0.001; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,90cdd455b10ba846,Will Uzbekistan win the 2026 FIFA World Cup?,neutral,等待,0.0,0.0,0,Neutral score: no current edge signal.,"Wait for price move, new information, or model upgrade.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=neutral; conservative=55.06; upside=56.53; risk=48.0; implied=0.001; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,3b5820cde5375b91,Will Saudi Arabia win the 2026 FIFA World Cup?,neutral,等待,0.0,0.0,0,Neutral score: no current edge signal.,"Wait for price move, new information, or model upgrade.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=neutral; conservative=53.49; upside=52.63; risk=48.0; implied=0.001; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,74a867133683e406,Will Qatar win the 2026 FIFA World Cup?,neutral,等待,0.0,0.0,0,Neutral score: no current edge signal.,"Wait for price move, new information, or model upgrade.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=neutral; conservative=53.03; upside=52.67; risk=48.0; implied=0.001; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,06e3390d2fac900e,Will South Africa win the 2026 FIFA World Cup?,neutral,等待,0.0,0.0,0,Neutral score: no current edge signal.,"Wait for price move, new information, or model upgrade.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=neutral; conservative=46.26; upside=50.71; risk=48.0; implied=0.001; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,d010aed746ded69f,Will any World Cup game scheduled in the U.S. be relocated abroad?,neutral,等待,0.0,0.0,0,Neutral score: no current edge signal.,"Wait for price move, new information, or model upgrade.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=neutral; conservative=43.43; upside=66.36; risk=50.0; implied=0.04; daily_max=5.0,https://polymarket.com/event/will-any-2026-fifa-world-cup-game-scheduled-in-the-us-be-relocated-abroad?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,09569fda845b9a58,Will Cape Verde win the 2026 FIFA World Cup?,neutral,等待,0.0,0.0,0,Neutral score: no current edge signal.,"Wait for price move, new information, or model upgrade.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=neutral; conservative=40.42; upside=44.78; risk=48.0; implied=0.001; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,62ae4fa62dde141e,Will Haiti win the 2026 FIFA World Cup?,neutral,等待,0.0,0.0,0,Neutral score: no current edge signal.,"Wait for price move, new information, or model upgrade.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=neutral; conservative=39.82; upside=44.82; risk=48.0; implied=0.001; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,7f9c7256c286468f,Will Jordan win the 2026 FIFA World Cup?,neutral,等待,0.0,0.0,0,Neutral score: no current edge signal.,"Wait for price move, new information, or model upgrade.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=neutral; conservative=39.6; upside=44.84; risk=48.0; implied=0.001; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,9507e4d798d5a0c6,Will Panama win the 2026 FIFA World Cup?,neutral,等待,0.0,0.0,0,Neutral score: no current edge signal.,"Wait for price move, new information, or model upgrade.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=neutral; conservative=39.55; upside=44.84; risk=48.0; implied=0.001; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,9a70492b723acd4b,Will New Zealand win the 2026 FIFA World Cup?,neutral,等待,0.0,0.0,0,Neutral score: no current edge signal.,"Wait for price move, new information, or model upgrade.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=neutral; conservative=39.17; upside=44.87; risk=48.0; implied=0.001; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,7b218c470f3dbf23,Will Curaçao win the 2026 FIFA World Cup?,neutral,等待,0.0,0.0,0,Neutral score: no current edge signal.,"Wait for price move, new information, or model upgrade.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=neutral; conservative=38.59; upside=44.91; risk=48.0; implied=0.001; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,72a7a024ba258617,Will Iraq win the 2026 FIFA World Cup?,neutral,等待,0.0,0.0,0,Neutral score: no current edge signal.,"Wait for price move, new information, or model upgrade.","Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=neutral; conservative=38.28; upside=44.93; risk=48.0; implied=0.001; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,c502f7b753bf6990,Will Italy win the 2026 FIFA World Cup?,excluded,风险过高,0.0,0.0,0,Risk score too high; no stake.,No entry.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=excluded; conservative=40.67; upside=0.0; risk=100.0; implied=0.001; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,3e6bf8636af04c0d,Will Peru win the 2026 FIFA World Cup?,excluded,风险过高,0.0,0.0,0,Risk score too high; no stake.,No entry.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=excluded; conservative=40.67; upside=0.0; risk=100.0; implied=0.001; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,bd610d7d10fcc169,Will Team AG win the 2026 FIFA World Cup?,excluded,风险过高,0.0,0.0,0,Risk score too high; no stake.,No entry.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=excluded; conservative=14.0; upside=0.0; risk=100.0; implied=1.0; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,5c2b4f5ca2134ea2,Will Team AH win the 2026 FIFA World Cup?,excluded,风险过高,0.0,0.0,0,Risk score too high; no stake.,No entry.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=excluded; conservative=14.0; upside=0.0; risk=100.0; implied=1.0; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,3b0cf43db7a90b69,Will Team AI win the 2026 FIFA World Cup?,excluded,风险过高,0.0,0.0,0,Risk score too high; no stake.,No entry.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=excluded; conservative=14.0; upside=0.0; risk=100.0; implied=1.0; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,136e27eda309b5a1,Will Team AJ win the 2026 FIFA World Cup?,excluded,风险过高,0.0,0.0,0,Risk score too high; no stake.,No entry.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=excluded; conservative=14.0; upside=0.0; risk=100.0; implied=1.0; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,da4ec73a294e9ba7,Will Team AK win the 2026 FIFA World Cup?,excluded,风险过高,0.0,0.0,0,Risk score too high; no stake.,No entry.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=excluded; conservative=14.0; upside=0.0; risk=100.0; implied=1.0; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,783e02a3f45577f9,Will Team AL win the 2026 FIFA World Cup?,excluded,风险过高,0.0,0.0,0,Risk score too high; no stake.,No entry.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=excluded; conservative=14.0; upside=0.0; risk=100.0; implied=1.0; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,2a021c00d12014f2,Will Team AM win the 2026 FIFA World Cup?,excluded,风险过高,0.0,0.0,0,Risk score too high; no stake.,No entry.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=excluded; conservative=14.0; upside=0.0; risk=100.0; implied=1.0; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,cee591ff9afad0e7,Will Team AN win the 2026 FIFA World Cup?,excluded,风险过高,0.0,0.0,0,Risk score too high; no stake.,No entry.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=excluded; conservative=14.0; upside=0.0; risk=100.0; implied=1.0; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
2026-06-10T11:49:58+00:00,326120f9064ef7b0,Will Team AO win the 2026 FIFA World Cup?,excluded,风险过高,0.0,0.0,0,Risk score too high; no stake.,No entry.,"Cancel if market closes, liquidity disappears, or thesis cannot be written in one sentence.",track=excluded; conservative=14.0; upside=0.0; risk=100.0; implied=1.0; daily_max=5.0,https://polymarket.com/event/world-cup-winner?via=serene77mc-g6kj
